gender,pitch,tempo,energy,emotion,style_prompt,content_prompt
M,low,normal,low,neutral,"With a deep vocal quality and customary speech speed, his expression conveys a sense of low energy.","They walked back from the door, whence they had escorted the delegation, and stood looking down at the saurian heads on the rug. Harrington raised his voice and called to a Kragan sergeant whose chevrons were painted on all four arms."
F,normal,high,low,neutral,"Speaking in a hushed tone, she manages a quick pace.",This is the way that snakes always talk.
F,normal,normal,high,neutral,A woman with high energy speaks in a normal tone.,"Like rings of smoke that rise one above the other, the coils of the serpent went around the tree-coils covered by hard and gleaming scales."
F,low,normal,high,neutral,"Speaking loudly in a low key, the woman conveys dynamism.","""A handsome likeness!"" said Pittrino."
F,low,high,low,neutral,Her low-energy disposition doesn't hinder her fast-paced speech.,Your own wife is not at home.
M,low,normal,high,neutral,The man's low tone exudes energy while he speaks naturally and with high spirits.,"An extraordinary instance of a similar kind occurred with a terrier bitch, named Gipsy."
M,low,normal,normal,neutral,"The male speaker's deep tones maintain a low pitch, conversing at a standard speed with customary enthusiasm.","At Cleveland, a staid little village on an open plain, which we reached soon after the dinner hour, there is an unused mill dam going to decay."
F,high,normal,high,neutral,"Speaking rapidly, her high-pitched voice emanates vibrant energy.","I wouldn't trouble you, but he says they're peculiar-the daughter, especially-and may need some careful handling."
M,low,normal,high,neutral,"Speaking with fervor, the man's low-pitched voice maintains a lively pace, radiating energy.",He transferred an obligatory glance from the canvas to the expectant artist.
F,normal,low,low,angry,"Slowly and quietly, she articulated her enraged perspective.",These words behind the ears is nonsense.
F,high,normal,normal,neutral,Her voice's treble quality infuses her conversation with vitality.,Usually the enjoyment is two ways.
M,normal,normal,high,neutral,A standard-pitched male speaker conveys liveliness through his moderate-paced words.,This view seems to me flatly to contradict experience.
M,low,normal,normal,neutral,"A male's low-pitched voice fosters an inviting exchange, maintaining a relaxed tone with an ordinary pace.",It's unlikely to be renewed.
M,low,low,high,neutral,The boy's low-pitched voice and measured delivery didn't diminish his high energy.,"But how are we to judge of airs, and pronounce-in such a city plague will die unproductive; in such another, nature has provided for it a plentiful harvest?"
F,normal,normal,normal,neutral,"With normal energy, she conveys her message.","William was nineteen years of age, brown color, smart and good looking."
M,low,high,low,neutral,The man's fast-paced speech in a low pitch reflects his diminished enthusiasm.,He's got lots of ammunition on the pony.
M,normal,low,normal,surprised,"With slow-speaking style, the amazed man maintains normal pitch and energy.",I owe them five hundred dollars.
M,low,normal,low,neutral,"Speaking with a lower pitch and usual speech speed, the man's communication exudes a sense of low vitality.",It seemed so personal.
F,normal,high,low,neutral,A young girl's hushed voice carries her rapid conversation fluently.,He was a lovely man.
F,high,normal,low,angry,"Speaking with a low-energy approach, her livid tone is high.",He dreamt them all night.
M,low,normal,normal,neutral,"A man's deep voice resonates naturally, fostering a sense of authenticity with a normal speaking speed.",She has never been sheltered.
M,low,normal,normal,neutral,His deep voice remains constant as he speaks with an average tempo and regular levels of enthusiasm.,"Wilt thou not let me pay for having it filled?"""
M,low,normal,low,neutral,"Speaking in a deep tone and usual speech tempo, his communication style reflects a sense of low energy.","""True; but of what sort?"
F,high,low,low,angry,"The woman's words unfolded at a leisurely pace, her wrathful voice possessing both a high pitch and a quiet, low-energy quality.",Then he would realize they were really things that only he himself could think
F,high,high,normal,neutral,"Speaking quickly and in a high-pitched voice, she exudes regular energy.","""You've picked out your girl friend for the trip, I suppose?"""
M,low,normal,normal,neutral,"A man with a deep, velvety voice speaks naturally and with a normal speaking speed and energy.","Sensing their predicament and fearing any loss of prestige, they risked a slight advance."
F,normal,normal,high,neutral,"Exuding high energy, her tone remains at a normal level.",But still it never occurred to the Duchess that Arabella intended to hunt.
M,low,normal,low,sad,"With a low pitch and regular speaking speed, the sad man's delivery carries a subdued energy.",Jeff thought you argued in favor of a centrifuge purchase
F,high,high,normal,neutral,"She conveys her ideas rapidly, her pitch remaining high.",I used to know the people who lived here-very well indeed-and I have been wondering whether the house was still in their possession.
F,normal,low,low,neutral,"Speaking slowly and softly, her energy remained low.",Charles Kennedy had an effective outing.
F,high,normal,normal,neutral,"With a treble, she speaks with animated energy.","One evening, then, four hard faced men sat at two small tables in the main room of Lifecraft Three."
M,high,normal,high,neutral,"With zeal, he delivers high-pitched speech at a moderate pace.","""I-I didn't know you were waiting."
M,low,normal,high,neutral,"With his masculine timbre, he communicates with exuberance and maintains a standard speaking speed.","Positions are found for women as stewardesses and in other capacities, and it is coming to be increasingly recognised that there is a large amount of women's work to be done on board a ship."
M,normal,low,high,neutral,"Speaking slowly, the male speaker maintains his pitch and infuses his words with high energy.","""You cry, sycophant!"
M,normal,normal,normal,neutral,His voice maintained a regular pitch as he engaged in dialogue with an average speed and typical energy.,Who would be right?
F,high,normal,normal,neutral,"Her voice is sharp, yet her speaking rate remains consistent.","She had been strictly brought up by a woman of excellent principles and considerable attainments, who died a year or so before the marriage."
F,high,low,high,happy,"The pleasing woman's energetic aura translated into a high-pitched, deliberate speech.",Suppose I take grandmother a fresh vegetable.
F,high,normal,normal,neutral,"A female treble talked normally, conveying her thoughts clearly.","It shouldn't come as a surprise, but it does."
F,high,high,low,neutral,"Despite the low energy, her speech remained rapid and high in tone.","""I am sorry to find, my love, that my father does not think you looking well; but I hope it is only from being a little fatigued."
F,normal,high,normal,neutral,"Rapidly speaking, she discussed the subject.","""I think they will neither of them do the other any good."""
F,normal,normal,low,neutral,"Her hushed words maintain a standard pitch, though her energy is subdued.",Subtle it is not.
F,normal,normal,high,neutral,A woman's energetic delivery is accompanied by a normal tone.,I might be driven into the wide Atlantic and feel all the tortures of starvation or be swallowed up in the immeasurable waters that roared and buffeted around me.
F,normal,high,high,neutral,Rapid speech and a loud tone define her style.,"Though he swore to himself that he would not touch the dram, he would not dash down the full glass that was held to his lips."
F,normal,normal,low,neutral,"With a soft tone, she speaks at a normal pace.",The result could be all down to turnout.
M,normal,normal,high,neutral,"With normal pitch and speed, the man's speech exudes an energetic vibe.","""Where's the water?"""
M,low,normal,high,neutral,"Speaking with an infectious zeal, his deep voice maintains a natural tempo.","Everything, however, in this campaign, depended on quickness, and Grant's decision, as well as all his movements, marked the genius of the great soldier, which consists very largely in knowing just when to abandon the accepted military axioms."
M,low,normal,low,neutral,"A man's voice carries a deep tone as he speaks at a normal speed, hinting at a prevailing low enthusiasm.",She did not attend the courtroom.
F,high,normal,normal,neutral,"With normal energy levels, she converses in a high-pitched voice.","Nearly at the same moment, the other file, which was proceeding towards the Madeleine, halted also."
F,high,normal,high,neutral,A high-energy female voice speaks with a high pitch.,"""Maybe he loves her."
M,low,normal,normal,neutral,"Speaking naturally in his deep timbre, the man discusses subjects with an average pace and usual liveliness.","He looked exactly like a little angel, but he was so pale, and his whole body trembled with cold."
M,low,low,normal,neutral,The deliberate slowness and deep resonance of the male voice create a tranquil and normal energy.,"To those who've fail'd, in aspiration vast, To unnam'd soldiers fallen in front on the lead, To calm, devoted engineers-to over ardent travelers-to pilots on their ships, To many a lofty song and picture without recognition-I'd rear laurel cover'd monument, High, high above the rest-To all cut off before their time, Possess'd by some strange spirit of fire, Quench'd by an early death."
F,high,high,normal,neutral,Her rate of speaking is more than fast and her pitch is high.,We should do everything at a stroke.
F,high,normal,normal,neutral,"Her voice falls into the treble range, and her speech is at a normal pace.",It was so dark when I entered the Coach that I could not distinguish the Number of my Fellow travellers; I could only perceive that they were many.
M,low,normal,high,neutral,A man's resonant low pitch adds depth to his high-energy dialogue at a typical pace.,"But something not to be overlooked is that if living things have landed alive upon this earth-in spite of all we think we know of the accelerative velocity of falling bodies-and have propagated-why the exotic becomes the indigenous, or from the strangest of places we'd expect the familiar."
F,high,high,low,neutral,"A girl's voice, high-pitched and fast, filled the air.",Are you all right?
F,high,high,low,neutral,"With a high tone, she swiftly expressed her thoughts.",What did you learn in school today?
M,low,low,low,neutral,"With a low-pitched voice, the male speaker speaks slowly, infusing the audio with a languid tempo and a subdued energy.",Greg buys fresh milk each weekday morning
F,high,low,low,neutral,"She softly and slowly spoke, her voice's pitch high, energy low.","""Just so; fifteen thousand francs, do you understand?"""
F,high,high,high,neutral,"The girl's voice, pitched high and full of vigor, quickly captured her listeners.","""We'll be burned up!"""
M,low,normal,low,surprised,"Speaking with a deep pitch, his dazed voice flows at a standard speaking pace, though lacking dynamic energy.",I'd ride the subway but I haven't enough change
F,high,normal,low,neutral,"Despite low energy, her voice carries a high pitch during a regular conversation.",And then came the seventies.
F,normal,high,low,neutral,"In a calm manner, she talks quickly and quietly.",The curtains parted and a woman came toward them.
F,high,normal,normal,neutral,"Her voice, a treble, complements her regular speaking speed.","In this gayety of Paris, England cracked her whip; Lord Seymour's post chaise, harassed by a nickname from the populace, passed with great noise."
M,low,high,normal,neutral,"With a low pitch, the male speaker's rapid speech maintains a sense of regular energy.","Therefore I have taken this ship and got my crew together to see if I can hear any news of him, for he has been away a long time."""
F,high,normal,high,neutral,"With vibrant energy, she maintains a high tone.","""Hush!"" he said."
M,low,normal,low,neutral,"His voice, combined with a regular rhythm, conveys an air of low vitality in his expression.","And Daniel said unto the king, Let it be according to thy word."
M,normal,normal,high,fear,The nervous man's enthusiastic speech is marked by both normal pitch and speed.,Will Robin wear a yellow lily
F,low,normal,high,neutral,"Speaking with a deep and vibrant tone, she fills the space with energy.","Tito seemed to think yesterday that there was little prospect of the king's going soon."""
F,high,low,normal,neutral,"Deliberately and with a higher tone, she communicates slowly with normal energy.",Anything can happen - at any moment.
F,normal,normal,low,neutral,"Her volume is low, but she speaks at a normal rate.","Who is there in Petersburg?"" he asked involuntarily, though only to himself."
F,high,normal,high,neutral,Her high-pitched tone adds an enthusiastic edge to her speech.,I don't say Isaac Cropper steals those plums with his own hands.
M,low,normal,low,neutral,"With a low-pitched voice and normal speaking tempo, the man's delivery exudes a subdued energy.",They have no history.
M,low,high,high,neutral,A man's low-pitched voice fuels his enthusiastic and fast-paced speech.,"""Are the women soldiers in the Palace?"""
M,low,high,normal,neutral,"With a low-pitched voice, the male speaker's rapid speech reflects regular energy.","It involved the use of capital to pay for their passage, to sustain them on the voyage, and to start them on the way of production."
F,normal,normal,normal,neutral,The woman engages in dialogue with a standard speed and pitch.,"""Never you mind the train, General."
F,high,normal,normal,neutral,Her voice retains a high pitch as she speaks normally.,"Don't take so much trouble, father."
F,high,normal,high,neutral,"Addressing the room with high energy, her voice is spirited.","The cattle cars of the Manhattan Elevated rattled away, and john Perkins drifted down the stairway of the station with the released flock."
M,low,normal,low,neutral,"The boy's voice, with its lowered pitch, maintains an average speaking speed, contributing to a subdued and lackluster impression.",The problems are a result of that shortfall.
M,low,normal,low,neutral,"A man uses a low pitch and standard speaking speed, reflecting an inherent lack of energy in his expression.",Our place as artists is to ask questions.
M,low,normal,normal,neutral,"With his characteristic deep voice, he engages in conversation at a moderate tempo and standard energy levels.",The work between the musicians and the fire is very important.
F,high,normal,normal,neutral,"In her normal speaking speed, her tone is distinctly high-pitched.","""Yes, a clock struck."
F,high,normal,low,neutral,"Talking softly, her tone reaches a high note.",I hope you enjoyed yourself?
M,low,normal,high,neutral,His deep voice and high energy combine seamlessly in his speech at a normal rate.,"Come along, Danglars, and let the young gentleman return to the Catalans if he chooses."""
M,normal,normal,high,neutral,"Displaying high energy, the man speaks with a normal pitch and a brisk speaking pace.","For example, I know that here are five fingers, and you know the same."
F,high,normal,normal,surprised,A surprised female voice with a treble chats with a regular speed.,I must have two to fetch and carry.
M,low,high,low,neutral,"His energy might be low, but his speaking speed remains fast and his pitch low.",It had all been arranged.
M,low,normal,high,neutral,"Speaking with vibrancy, the male speaker effortlessly matches his natural pace with his low-pitched, high-energy voice.","The distraction which prevailed in the classes the week preceding the Fourth had subsided, and nothing remained to indicate the recent festivities, excepting a noticeable want of eyebrows on the part of Pepper Whitcomb and myself."
M,normal,normal,normal,happy,"A delighted male speaker employs a standard pitch, at a typical speaking speed, and average energy levels.",She found herself able to sing any role and any song which struck her fancy
M,normal,normal,low,angry,"The man maintains a regular pitch as he speaks at a moderate speed, showing a touch of fatigue in his enraged energy.",But I saw you walking.
F,normal,normal,normal,neutral,"Speaking naturally, her rate and tone are standard.",Had he failed?
F,normal,normal,high,neutral,"Energized and speaking with a regular tone, she captures attention.","""I'm not worried."""
F,high,low,high,neutral,"Her high energy was palpable, even as she spoke at a measured and deliberate pace.",MOHAMMED
M,low,normal,high,neutral,A man's dynamic delivery is complemented by his low-pitched voice and regular speaking speed.,"Now, you saw that if the dress were a harlequin's the appearance of a policeman would be quite in keeping."
M,normal,normal,low,surprised,"Engaging in dialogue with low energy, the stunned male speaker's pitch and speaking speed remain in the normal range.",At length they came to a sharp bend.
M,normal,high,low,neutral,"The man talks swiftly with a normal pitch, giving off a feeling of low energy.","""My darling, how can you know?"""
M,low,high,high,neutral,"The male speaker addresses the crowd with urgency, his discourse fueled by high energy and a deep voice.","Your teacher, I imagine, merely wants some one to see her safely home. Don't you think, if you should go part of the way, that I might take your place for the rest, while you did my errand?"""
M,low,high,normal,neutral,The male speaker's fast-speaking style is complemented by his low pitch and normal energy.,The river at that point passed between two of these hills.
M,low,normal,low,neutral,"The male speaker's tone, marked by a lower pitch, aligns with a natural rhythm, creating an impression of subdued energy.",Scotland won by six wickets.
F,normal,high,high,neutral,"She talks rapidly and loudly, filling her speech with high energy.",She slid down on to the rug where she had knelt before.
F,normal,high,high,neutral,"With speed and intensity, she delivers her message.","He did not know, nobody knew, what she was going to do, and from the very beginning she was unable to look anybody in the face."
M,low,high,normal,neutral,"The man's rapid-paced delivery, marked by a deep resonance, resonates with regular energy.","Dad caught it, too, and it must be close to the time for him."
F,high,high,normal,surprised,High-energy stunned female with rapid speech and high pitch.,"And on the top of them, came Winnie, the cute bear."
M,normal,low,low,fear,"The speaker, though male, exudes a sense of low energy through his scared normal-pitched speech.",Special task forces rescue hostages from kidnappers
F,high,normal,normal,neutral,"Her pitch is high-pitched, while her speech rate remains steady.","""As we drew near the Dutch shore, and the body of water over our heads did not exceed twenty fathoms, I thought I saw a human figure in a female dress then lying on the sand before me with some signs of life; when I came close I perceived her hand move: I took it into mine, and brought her on shore as a corpse."
F,normal,high,normal,neutral,"The girl's words flowed quickly, brimming with life.","""Am I? What have I done that is queer now, Rose?"" asked the other, looking up suddenly and turning her head towards her sister."
F,high,normal,low,sad,A murmur and a sharp heartbroken female treble.,Slam the doors and wedge them!
F,normal,high,high,neutral,"With high energy, she conveys her ideas through fast-paced speech.","When Morgan le Fay saw him dead she made great sorrow out of reason; and then she let despoil him unto his shirt, and so she let him put into a tomb."
M,normal,normal,high,neutral,The man conveys his energy through normal-pitched speech at a regular pace.,"Where is mr Renshaw?"""
M,normal,normal,low,sad,"Speaking with an average pitch, the disconsolate man maintains a steady speed of speech, conveying a sense of low energy.",that sounds good.
F,high,low,normal,surprised,"With a higher tone, she speaks slowly, her amazed energy unaffected.","If not, I shall go no further."
M,low,normal,low,neutral,"The male speaker's low-pitched voice unfolds at a common speaking speed, but with diminished enthusiasm.",As soon as this was done Hanssen and I set out to explore.
M,low,high,normal,surprised,"Expressing an average amount of vitality, the speaker delivers his surprised words swiftly in a low voice.",I took her word for it but is she really going with you
M,low,high,low,neutral,A low-pitched voice belonging to a man speeds through words with minimal vitality.,"""But-there's no need to tell me that, because I know it already."
F,high,low,low,contempt,"Whispering gently, she spoke with a deliberate slowness, her contemptuous voice's pitch high, energy quiet.",Land based radar would help with this task
F,normal,high,normal,neutral,"Speaking swiftly, the woman explained.",To the Hebrews it was a token that there would be no more universal floods.
M,low,normal,high,neutral,"The man addresses his audience with zeal, his low-pitched voice maintaining a regular pace.","april twenty first to may fourth, funeral train through principal cities North, to springfield illinois."
F,normal,normal,normal,neutral,"Speaking with a regular pitch, she communicates effectively.",Many complicated ideas about the rainbow have been formed. 
M,low,high,normal,neutral,"A male voice speaks rapidly with a low pitch, resonating with normal energy.",From somewhere seemed to come an echo of a mocking laugh.
F,normal,normal,low,neutral,"Speaking in a low-energy manner, her pace is standard.",It was by the numbers.
M,low,normal,high,neutral,"The boy's resonant low tone captures high energy within his conversation, maintaining a usual speed of speaking.",What were the effects of the Chicago fire and the San Francisco earthquake upon these cities?
M,low,normal,high,neutral,"Speaking with a low-pitched tone, the man conveys an effervescent energy in a steady tempo.",This of course would help to explain away any undue stoutness on my part.
F,high,normal,normal,neutral,"A girl's voice in a treble range, speaking normally.","""When we are in want of help,"" I said, ""we sometimes find it, nearer than we had ventured to expect-at our own doors."""
M,normal,low,high,surprised,"Speaking deliberately with a hint of high energy, the startled male speaker's pitch is regular.",The carpet cleaners shampooed our oriental rug
M,low,high,high,neutral,The man's low-pitched voice carries energy as he rapidly speaks his mind.,"""Yes, but sometimes it is easier to pick up messages than it is to send them."
F,normal,high,normal,neutral,The woman articulated swiftly.,"""How did you get in?"" asked the Woozy."
F,normal,normal,normal,neutral,"Expressing herself naturally, the girl speaks in a standard tone.",I am not blaming audiences.
M,low,normal,high,neutral,"A man addresses his audience with fervor, his low-pitched voice resonating at a moderate tempo.","""I cannot imagine that a man who looks things in the face as you do, the moment they confront you, has not lived at all, has never met with anything in his history which has taught him something other people need to be taught."
M,low,high,normal,neutral,"Displaying normal energy, his speech flows rapidly in a low pitch.",It was all in a short period of time.
F,normal,normal,high,neutral,"A woman, brimming with enthusiasm, speaks at a normal pitch.","Then a door was unbolted, and Sylvia said,"
M,low,normal,high,neutral,"With a deep, dynamic voice, the male speaker speaks with heightened energy at a normal tempo.","The wound brought on lockjaw, of which he died."
F,high,normal,normal,surprised,"Talking at a regular pace, her stunned high-pitched voice is melodic.","You know, answers to the name of Tom's son."
M,low,high,normal,neutral,"With a low-pitched voice, he engages in quick speech while maintaining his normal energy.","It was not the one he had anticipated, but it came near to it. It was that of james Wellgood."
F,high,normal,high,neutral,Her high-pitched voice resonates with vivacious energy as she speaks.,He is fond of meat when he can get it. He also eats seeds of many kinds.
F,high,high,normal,neutral,"Speaking quickly and with a high pitch, she embodies normal energy.","While she was thus waiting for her father, and Link in every way was seeking evidence against her, mrs Clear received an answer to her message."
F,high,low,low,contempt,"Her words lingered in the air, each syllable pronounced slowly, her contemptuous voice possessing a sharp key.",We of the liberal led world got all set for peace and rehabilitation
F,high,normal,normal,neutral,"Her voice is sharp, yet her speaking rate is normal.","Then, when I saw that beautiful, flaming Shape-I felt no terror, no fear-only a tremendous-joyous-anticipation, as though-as though-"" She faltered, hung her head, then leaving that sentence unfinished, whispered: ""and when-it-lifted me it was as though I had come at last out of some endless black ocean of despair into the full sun of paradise."""
